Rank,Stock,Price,Support,SupportGap,VolumeX,RSI,Score,Entry,SL,T1,T2,T3,Donchian,BreakoutGap,Reason
27,PWL,115.47,113.59,1.66,0.35,37.7,85,116.47,111.32,121.63,126.78,131.94,133.5,15.61,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving"
28,LUPIN,2155.2,2137.6,0.82,0.7,30.7,85,2159.51,2094.85,2224.17,2288.83,2353.5,2427.7,12.64,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving"
29,BDL,1253.7,1232.5,1.72,0.29,38.6,85,1260.52,1207.85,1313.18,1365.85,1418.51,1427.7,13.88,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving"
30,RHIM,370.5,364.4,1.67,0.47,39.7,85,372.74,357.11,388.38,404.01,419.64,433.0,16.87,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving"
31,ZFCVINDIA,2572.2,2505.8,2.65,0.87,52.0,85,2590.17,2455.68,2724.66,2859.14,2993.63,2691.0,4.62,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 50 DMA, Above 200 DMA"
32,TATACHEM,633.95,624.0,1.59,0.71,37.3,85,636.52,611.52,661.52,686.52,711.52,708.9,11.82,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving"
33,AAVAS,1258.7,1235.7,1.86,1.74,30.1,80,1290.18,1210.99,1369.36,1448.55,1527.74,1444.5,14.76,"Very close to support, Bullish candle, Price recovering, Volume spike, RSI improving"
34,IKS,1744.1,1686.4,3.42,0.44,43.3,80,1751.5,1652.67,1850.32,1949.14,2047.97,1907.4,9.36,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
35,JMFINANCIL,129.39,124.72,3.74,0.56,53.9,80,130.26,122.23,138.29,146.33,154.36,133.5,3.18,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 50 DMA"
36,RBLBANK,389.4,376.4,3.45,2.19,58.0,80,393.49,368.87,418.1,442.71,467.33,394.5,1.31,"Near support, Bullish candle, Price recovering, Volume spike, RSI improving, Above 50 DMA, Above 200 DMA"
37,USHAMART,501.6,477.8,4.98,2.95,52.5,80,509.37,468.24,550.49,591.61,632.73,524.8,4.63,"Near support, Bullish candle, Price recovering, Volume spike, RSI improving, Above 50 DMA, Above 200 DMA"
38,BANKINDIA,143.1,139.37,2.68,0.87,50.7,80,143.65,136.58,150.71,157.77,164.84,147.9,3.35,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 50 DMA"
39,JUBLFOOD,486.5,467.7,4.02,0.34,51.4,80,487.47,458.35,516.6,545.73,574.85,527.85,8.5,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 50 DMA"
40,LLOYDSME,1813.0,1766.1,2.66,0.74,39.8,80,1822.64,1730.78,1914.5,2006.36,2098.22,2125.0,17.21,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
41,PRESTIGE,1582.0,1542.0,2.59,1.07,46.2,80,1585.16,1511.16,1659.17,1733.17,1807.18,1651.3,4.38,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
42,SBICARD,635.15,610.0,4.12,0.61,46.7,80,643.58,597.8,689.37,735.15,780.94,670.8,5.61,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 50 DMA"
